algo;base;packing;size;page_length
PnS1;16;1;16;64
PnS1;32;1;32;64
PnS1;16;3;48;64
PnS1;64;1;64;64
PnS1;16;5;80;64
PnS1;32;3;96;64
PnS1;16;7;112;64
PnS1;128;1;128;64
PnS1;32;5;160;64
PnS1;64;3;192;64
PnS1;32;7;224;64
PnS1;256;1;256;64
PnS1;64;5;320;64
PnS1;128;3;384;64
PnS1;64;7;448;64
PnS1;512;1;512;64
PnS1;128;5;640;64
PnS1;256;3;768;64
PnS1;128;7;896;64
P1Sn;1024;1;1024;64
PnSn;256;5;1280;64
PnSn;512;3;1536;64
PnSn;256;7;1792;64
P1Sn;2048;1;2048;32
PnSn;512;5;2560;32
PnSn;1024;3;3072;32
PnSn;512;7;3584;32
P1Sn;4096;1;4096;16
PnSn;1024;5;5120;16
PnSn;2048;3;6144;16
PnSn;1024;7;7168;16
P1Sn;8192;1;8192;8
PnSn;2048;5;10240;8
PnSn;4096;3;12288;8
PnSn;2048;7;14336;8
P1Sn;16384;1;16384;4
PnSn;4096;5;20480;4
PnSn;8192;3;24576;4
PnSn;4096;7;28672;4
P1Sn;32768;1;32768;2
PnSn;8192;5;40960;2
PnSn;16384;3;49152;2
PnSn;8192;7;57344;2
sunit;65536;1;65536;1
PnSn;16384;5;81920;1
PnSn;32768;3;98304;1
PnSn;16384;7;114688;1
sunit;131072;1;131072;1
P1Sn;32768;5;163840;2
sunit;65536;3;196608;1
P1Sn;32768;7;229376;2
sunit;262144;1;262144;1
sunit;65536;5;327680;1
sunit;131072;3;393216;1
sunit;65536;7;458752;1
sunit;524288;1;524288;1
sunit;131072;5;655360;1
sunit;262144;3;786432;1
sunit;131072;7;917504;1
sunit;1048576;1;1048576;1
sunit;262144;5;1310720;1
sunit;524288;3;1572864;1
sunit;262144;7;1835008;1
sunit;2097152;1;2097152;1
sunit;524288;5;2621440;1
sunit;1048576;3;3145728;1
sunit;524288;7;3670016;1
unit;4194304;1;4194304;1
sunit;1048576;5;5242880;1
sunit;2097152;3;6291456;1
sunit;1048576;7;7340032;1
sunit;2097152;5;10485760;1
unit;4194304;3;12582912;1
sunit;2097152;7;14680064;1
unit;4194304;5;20971520;1
unit;4194304;7;29360128;1
