algo;size;block_per_page;page_size;segment_count
slabL2;16;64;1024;1
slabL2;24;42;1024;1
slabL2;32;64;2048;1
slabL2;40;51;2048;1
slabL2;48;42;2048;1
slabL2;56;36;2048;1
slabL2;64;64;4096;1
slabL2;72;56;4096;1
slabL2;80;51;4096;1
slabL2;88;46;4096;1
slabL2;96;42;4096;1
slabL2;104;39;4096;1
slabL2;112;36;4096;1
slabL2;120;34;4096;1
slabL2;128;64;8192;1
slabL2;144;56;8192;1
slabL2;160;51;8192;1
slabL2;184;44;8192;1
slabL2;208;39;8192;1
slabL2;232;35;8192;1
slabL2;256;64;16384;1
slabL2;280;58;16384;1
slabL2;312;52;16384;1
slabL2;344;47;16384;1
slabL2;376;43;16384;1
slabL2;416;39;16384;1
slabL2;464;35;16384;1
slabL2;512;64;32768;1
slabL2;560;58;32768;1
slabL2;616;53;32768;1
slabL2;680;48;32768;1
slabL2;760;43;32768;1
slabL2;840;39;32768;1
slabL2;936;35;32768;1
slabL2;1024;64;65536;1
slabL2;1168;56;65536;1
slabL2;1304;50;65536;1
slabL2;1456;45;65536;1
slabL2;1632;40;65536;1
slabL2;1816;36;65536;1
slabL2;2048;32;65536;1
slabL2;2184;30;65536;1
slabL2;2424;27;65536;1
slabL2;2728;24;65536;1
slabL2;2976;22;65536;1
slabL2;3272;20;65536;1
slabL2;3640;18;65536;1
slabL2;4096;16;65536;1
slabL2;4368;15;65536;1
slabL2;5040;13;65536;1
slabL2;5456;12;65536;1
slabL2;5952;11;65536;1
slabL2;6552;10;65536;1
slabL2;7280;9;65536;1
slabL2;8192;16;131072;2
slabL2;9360;14;131072;2
slabL2;10080;13;131072;2
slabL2;10920;12;131072;2
slabL2;11912;11;131072;2
slabL2;13104;10;131072;2
slabL2;14560;9;131072;2
slabL2;16384;8;131072;2
slabL2;18720;7;131072;2
slabL2;20160;13;262144;4
slabL2;21840;6;131072;2
slabL2;23824;11;262144;4
slabL2;26208;5;131072;2
slabL2;29120;9;262144;4
slab1357;32768;2;65536;1
slab1357;40960;8;327680;5
slab1357;49152;4;196608;3
slab1357;57344;8;458752;7
segment;65536;1;65536;1
slab1357;81920;4;327680;5
slab1357;98304;2;196608;3
slab1357;114688;4;458752;7
segment;131072;1;131072;2
slab1357;163840;2;327680;5
segment;196608;1;196608;3
slab1357;229376;2;458752;7
segment;262144;1;262144;4
segment;327680;1;327680;5
segment;393216;1;393216;6
segment;458752;1;458752;7
segment;524288;1;524288;8
segment;589824;1;589824;9
segment;655360;1;655360;10
segment;720896;1;720896;11
segment;786432;1;786432;12
segment;851968;1;851968;13
segment;917504;1;917504;14
segment;983040;1;983040;15
segment;1048576;1;1048576;16
